Fazendo testes para parteA
Tamanho do Vetor,Threads,Tempo (s),MegaOPs
1000000,1,0.013824,7233773.795408
1000000,1,0.014210,7037264.001833
1000000,1,0.012759,7837411.334386
1000000,1,0.013059,7657842.687694
1000000,1,0.012754,7840868.015453
1000000,1,0.013895,7196686.818109
1000000,1,0.013921,7183379.097444
1000000,1,0.012679,7887284.396151
1000000,1,0.013056,7659527.272360
1000000,1,0.017116,5842487.244974
1000000,2,0.014451,6919843.918769
1000000,2,0.016564,6037270.728607
1000000,2,0.016610,6020545.351835
1000000,2,0.023851,4192635.150013
1000000,2,0.013395,7465741.949914
1000000,2,0.015405,6491263.214102
1000000,2,0.015688,6374444.291883
1000000,2,0.016151,6191651.424885
1000000,2,0.014330,6978600.331442
1000000,2,0.019636,5092562.933129
1000000,3,0.015351,6514301.921869
1000000,3,0.016403,6096621.203756
1000000,3,0.014158,7063065.689760
1000000,3,0.017657,5663486.505724
1000000,3,0.014210,7037068.886290
1000000,3,0.016779,5959833.937571
1000000,3,0.015888,6294248.171253
1000000,3,0.012908,7747254.798998
1000000,3,0.013990,7148201.444609
1000000,3,0.012906,7748140.794876
1000000,4,0.012792,7817131.650503
1000000,4,0.012957,7717890.123331
1000000,4,0.014135,7074740.029834
1000000,4,0.012955,7719247.867365
1000000,4,0.013514,7399559.489424
1000000,4,0.013069,7651665.576304
1000000,4,0.013986,7150132.913821
1000000,4,0.017533,5703612.137492
1000000,4,0.016427,6087568.825292
1000000,4,0.015781,6336613.988494
1000000,5,0.016085,6217073.987595
1000000,5,0.015626,6399422.516112
1000000,5,0.014470,6910748.785159
1000000,5,0.016526,6051047.605770
1000000,5,0.013837,7227144.750965
1000000,5,0.014100,7092191.036676
1000000,5,0.014406,6941402.760318
1000000,5,0.013833,7228842.677468
1000000,5,0.014211,7037035.212621
1000000,5,0.014070,7107490.271267
1000000,6,0.014437,6926763.399841
1000000,6,0.014790,6761260.761476
1000000,6,0.014870,6725172.981537
1000000,6,0.017639,5669184.275814
1000000,6,0.014942,6692323.249385
1000000,6,0.015897,6290643.849914
1000000,6,0.014230,7027499.730847
1000000,6,0.014152,7065966.306929
1000000,6,0.013998,7144036.419155
1000000,6,0.014615,6842447.781689
1000000,7,0.014581,6858240.175571
1000000,7,0.014517,6888392.541937
1000000,7,0.013345,7493304.545056
1000000,7,0.012879,7764477.917281
1000000,7,0.012810,7806568.227923
1000000,7,0.012892,7756520.344306
1000000,7,0.014325,6980880.276437
1000000,7,0.015227,6567255.493361
1000000,7,0.012851,7781584.009903
1000000,7,0.013367,7481097.884031
